,country,variety,harvest,rating_cat,price,points,wineries,reviews
357,Argentina,Moscatel,2015,0,11.0,81.0,1,1
358,Argentina,Moscato,2011,0,14.5,81.0,2,2
359,Argentina,Moscato,2011,1,8.0,85.0,1,1
360,Argentina,Moscato,2012,0,7.5,81.0,2,2
361,Argentina,Moscato,2012,1,10.0,85.0,1,1
362,Argentina,Moscato,2013,0,8.0,81.0,1,1
363,Argentina,Moscato,2013,1,12.0,84.0,1,1
364,Argentina,Moscato,2014,0,8.0,82.0,1,2
365,Argentina,Nebbiolo,2006,2,62.0,89.0,1,1
366,Argentina,Nebbiolo,2007,2,65.0,89.0,1,2
367,Argentina,Nebbiolo,2008,2,64.0,88.0,1,1
368,Argentina,Petit Verdot,2007,0,35.0,80.0,1,1
369,Argentina,Petit Verdot,2008,3,75.0,92.0,1,1
370,Argentina,Petit Verdot,2011,2,38.0,89.0,1,1
371,Argentina,Petit Verdot,2012,1,40.0,86.0,1,1
372,Argentina,Petit Verdot,2012,3,39.0,90.0,1,2
373,Argentina,Petit Verdot,2013,3,25.0,90.33333333333333,2,3
374,Argentina,Petit Verdot,2014,2,35.0,87.0,1,1
375,Argentina,Pinot Grigio,2006,1,9.0,83.0,1,1
376,Argentina,Pinot Grigio,2007,0,11.5,80.5,2,2
377,Argentina,Pinot Grigio,2007,1,8.0,85.0,1,1
378,Argentina,Pinot Grigio,2008,1,10.333333333333334,83.66666666666667,2,3
379,Argentina,Pinot Grigio,2009,0,7.0,82.0,1,1
380,Argentina,Pinot Grigio,2009,1,10.5,84.0,2,2
381,Argentina,Pinot Grigio,2010,1,9.0,86.0,1,1
382,Argentina,Pinot Grigio,2011,1,11.0,84.33333333333333,3,3
383,Argentina,Pinot Grigio,2012,0,13.5,81.0,1,2
384,Argentina,Pinot Grigio,2012,1,10.0,85.0,1,1
